,15251
2010-05-20,1
2010-05-21,3
2010-05-24,1
2010-05-25,3
2010-05-27,2
2010-05-28,2
2010-06-01,14
2010-06-02,1
2010-06-03,2
2010-06-04,2
2010-06-07,5
2010-06-08,1
2010-06-09,1
2010-06-10,1
2010-06-11,1
2010-06-14,1
2010-06-15,2
2010-06-16,3
2010-06-17,1
2010-06-21,4
2010-06-22,7
2010-06-23,1
2010-06-24,4
2010-06-25,1
2010-06-28,1
2010-06-29,1
2010-06-30,1
2010-07-06,4
2010-07-07,2
2010-07-08,4
2010-07-09,4
2010-07-10,3
2010-07-12,5
2010-07-13,2
2010-07-14,3
2010-07-15,2
2010-07-16,10
2010-07-19,4
2010-07-20,4
2010-07-21,1
2010-07-23,1
2010-07-26,2
2010-07-28,2
2010-07-30,1
2010-08-02,1
2010-08-03,2
2010-08-04,2
2010-08-06,5
2010-08-09,2
2010-08-10,2
2010-08-12,2
2010-08-16,5
2010-08-17,1
2010-08-19,2
2010-08-20,4
2010-08-23,1
2010-08-25,1
2010-08-26,2
2010-08-27,6
2010-08-30,2
2010-08-31,5
2010-09-01,1
2010-09-02,2
2010-09-06,1
2010-09-07,3
2010-09-08,3
2010-09-10,1
2010-09-13,13
2010-09-14,3
2010-09-15,1
2010-09-17,4
2010-09-20,1
2010-09-21,3
2010-09-22,3
2010-09-23,5
2010-09-24,2
2010-09-27,5
2010-09-28,4
2010-09-29,1
2010-09-30,2
2010-10-01,1
2010-10-04,1
2010-10-06,2
2010-10-07,2
2010-10-08,10
2010-10-11,5
2010-10-12,3
2010-10-14,2
2010-10-15,5
2010-10-18,1
2010-10-20,2
2010-10-21,3
2010-10-22,1
2010-10-25,6
2010-10-26,13
2010-10-27,1
2010-10-28,2
2010-10-29,4
2010-11-01,1
2010-11-02,7
2010-11-04,1
2010-11-05,5
2010-11-06,1
2010-11-08,2
2010-11-09,3
2010-11-10,2
2010-11-11,1
2010-11-16,2
2010-11-17,4
2010-11-18,3
2010-11-19,2
2010-11-22,4
2010-11-23,3
2010-11-26,1
2010-11-30,10
2010-12-01,4
2010-12-02,3
2010-12-03,5
2010-12-06,1
2010-12-07,2
2010-12-08,1
2010-12-10,1
2010-12-14,2
2010-12-15,2
2010-12-16,2
2010-12-17,10
2010-12-18,2
2010-12-20,3
2010-12-23,2
2010-12-27,1
2011-01-07,4
2011-01-12,1
2011-01-14,3
2011-01-18,2
2011-01-19,3
2011-01-20,2
2011-01-21,2
2011-01-24,3
2011-01-25,3
2011-01-26,13
2011-01-27,10
2011-01-28,3
2011-01-31,1
2011-02-01,2
2011-02-02,3
2011-02-03,4
2011-02-04,1
2011-02-09,1
2011-02-11,2
2011-02-14,4
2011-02-16,1
2011-02-17,1
2011-02-18,1
2011-02-21,1
2011-02-22,2
2011-02-23,2
2011-02-24,1
2011-02-25,1
2011-02-28,3
2011-03-01,3
2011-03-02,8
2011-03-03,8
2011-03-04,4
2011-03-07,2
2011-03-08,2
2011-03-09,4
2011-03-11,2
2011-03-14,5
2011-03-15,3
2011-03-16,1
2011-03-17,2
2011-03-22,5
2011-03-23,6
2011-03-24,1
2011-03-25,1
2011-03-28,4
2011-03-29,1
2011-04-04,1
2011-04-05,3
2011-04-06,1
2011-04-08,6
2011-04-11,3
2011-04-12,5
2011-04-13,4
2011-04-14,1
2011-04-15,2
2011-04-18,6
2011-04-19,1
2011-04-20,5
2011-04-21,5
2011-04-22,2
2011-04-25,1
2011-04-26,3
2011-04-27,1
2011-04-28,2
2011-04-29,3
2011-05-03,3
2011-05-04,3
2011-05-05,1
2011-05-06,5
2011-05-09,6
2011-05-10,1
2011-05-11,4
2011-05-12,1
2011-05-13,2
2011-05-14,1
2011-05-16,3
2011-05-17,3
2011-05-18,5
2011-05-19,2
2011-05-20,4
2011-05-23,1
2011-05-24,1
2011-05-25,1
2011-05-26,11
2011-05-27,1
2011-05-31,4
2011-06-01,4
2011-06-02,2
2011-06-03,1
2011-06-06,1
2011-06-07,1
2011-06-08,3
2011-06-09,3
2011-06-10,4
2011-06-13,3
2011-06-14,6
2011-06-15,3
2011-06-16,2
2011-06-17,4
2011-06-20,1
2011-06-21,8
2011-06-22,1
2011-06-23,5
2011-06-24,4
2011-06-28,1
2011-06-30,5
2011-07-01,1
2011-07-02,1
2011-07-12,1
2011-07-13,4
2011-07-14,1
2011-07-15,2
2011-07-18,4
2011-07-19,5
2011-07-20,2
2011-07-21,2
2011-07-22,5
2011-07-25,4
2011-07-26,3
2011-07-27,2
2011-07-28,3
2011-07-29,15
2011-08-01,2
2011-08-02,5
2011-08-03,1
2011-08-04,2
2011-08-08,2
2011-08-09,1
2011-08-10,4
2011-08-11,5
2011-08-12,2
2011-08-15,4
2011-08-16,5
2011-08-17,2
2011-08-18,1
2011-08-19,2
2011-08-22,4
2011-08-23,3
2011-08-24,5
2011-08-25,1
2011-08-26,8
2011-08-29,2
2011-08-30,3
2011-08-31,4
2011-09-01,1
2011-09-05,1
2011-09-06,1
2011-09-07,2
2011-09-08,3
2011-09-10,1
2011-09-13,1
2011-09-14,2
2011-09-15,3
2011-09-16,2
2011-09-18,1
2011-09-19,1
2011-09-20,7
2011-09-21,5
2011-09-22,1
2011-09-23,4
2011-09-24,3
2011-09-26,3
2011-09-27,11
2011-09-28,6
2011-09-29,7
2011-09-30,3
2011-10-03,8
2011-10-04,3
2011-10-06,1
2011-10-07,1
2011-10-10,1
2011-10-11,7
2011-10-12,1
2011-10-13,4
2011-10-14,2
2011-10-17,4
2011-10-18,6
2011-10-19,10
2011-10-20,7
2011-10-24,7
2011-10-25,5
2011-10-26,5
2011-10-27,4
2011-10-28,10
2011-10-31,2
2011-11-01,1
2011-11-02,3
2011-11-03,2
2011-11-07,2
2011-11-08,2
2011-11-09,1
2011-11-10,5
2011-11-11,4
2011-11-14,1
2011-11-15,4
2011-11-16,4
2011-11-17,9
2011-11-18,3
2011-11-21,2
2011-11-22,2
2011-11-23,4
2011-11-28,3
2011-11-29,5
2011-11-30,6
2011-12-01,5
2011-12-02,2
2011-12-06,5
2011-12-07,3
2011-12-08,3
2011-12-09,4
2011-12-12,1
2011-12-13,3
2011-12-14,5
2011-12-15,4
2011-12-16,5
2011-12-19,5
2011-12-20,7
2011-12-21,3
2012-01-03,1
2012-01-05,3
2012-01-06,1
2012-01-09,1
2012-01-11,2
2012-01-12,1
2012-01-13,4
2012-01-16,2
2012-01-17,8
2012-01-18,2
2012-01-19,7
2012-01-24,3
2012-01-25,5
2012-01-26,1
2012-01-27,3
2012-01-29,1
2012-01-30,5
2012-01-31,5
2012-02-01,1
2012-02-02,4
2012-02-03,2
2012-02-06,5
2012-02-07,4
2012-02-08,6
2012-02-09,5
2012-02-10,1
2012-02-13,6
2012-02-14,8
2012-02-15,2
2012-02-16,4
2012-02-17,2
2012-02-20,3
2012-02-21,1
2012-02-22,6
2012-02-23,2
2012-02-24,1
2012-02-27,2
2012-02-28,4
2012-02-29,5
2012-03-01,8
2012-03-02,2
2012-03-06,1
2012-03-08,4
2012-03-09,2
2012-03-14,4
2012-03-15,3
2012-03-16,4
2012-03-19,1
2012-03-20,5
2012-03-21,5
2012-03-22,3
2012-03-23,5
2012-03-26,5
2012-03-27,1
2012-03-28,6
2012-03-29,6
2012-03-30,2
2012-03-31,1
2012-04-03,1
2012-04-04,2
2012-04-05,3
2012-04-06,2
2012-04-09,3
2012-04-10,4
2012-04-11,2
2012-04-12,9
2012-04-13,1
2012-04-16,3
2012-04-17,4
2012-04-18,8
2012-04-19,7
2012-04-20,3
2012-04-23,4
2012-04-24,5
2012-04-25,5
2012-04-26,8
2012-04-27,7
2012-04-30,1
2012-05-01,3
2012-05-02,13
2012-05-03,3
2012-05-04,2
2012-05-07,3
2012-05-08,2
2012-05-10,5
2012-05-11,9
2012-05-14,4
2012-05-15,3
2012-05-16,4
2012-05-17,4
2012-05-18,4
2012-05-22,5
2012-05-23,2
2012-05-24,15
2012-05-25,3
2012-05-28,2
2012-05-29,4
2012-05-30,7
2012-05-31,8
2012-06-01,4
2012-06-04,1
2012-06-05,1
2012-06-06,15
2012-06-07,7
2012-06-08,3
2012-06-11,1
2012-06-12,11
2012-06-13,9
2012-06-15,2
2012-06-16,3
2012-06-18,4
2012-06-19,6
2012-06-20,1
2012-06-21,7
2012-06-22,6
2012-06-25,2
2012-06-26,4
2012-06-27,4
2012-06-28,3
2012-06-29,2
2012-07-02,9
2012-07-03,2
2012-07-04,2
2012-07-05,4
2012-07-06,1
2012-07-09,2
2012-07-10,3
2012-07-11,2
2012-07-12,3
2012-07-20,22
2012-07-24,27
2012-07-25,4
2012-07-26,6
2012-07-27,6
2012-07-30,6
2012-07-31,7
2012-08-01,17
2012-08-02,3
2012-08-03,9
2012-08-06,6
2012-08-07,6
2012-08-08,1
2012-08-09,5
2012-08-10,2
2012-08-13,1
2012-08-14,7
2012-08-15,2
2012-08-16,8
2012-08-20,4
2012-08-21,5
2012-08-22,2
2012-08-23,5
2012-08-24,3
2012-08-28,10
2012-08-29,6
2012-08-30,3
2012-08-31,2
2012-09-03,1
2012-09-04,4
2012-09-06,3
2012-09-07,5
2012-09-11,3
2012-09-12,2
2012-09-13,5
2012-09-14,3
2012-09-17,1
2012-09-18,7
2012-09-19,14
2012-09-20,9
