AppID,ProductType,ProductName,RequiredAge,ControllerSupport,Dlc,ShortDescription,FullGameAppID,FullGameName,SupportedLanguages,HeaderImage,Website,PcRequirementsMin,PcRequirementsMax,Developers,Publishers,Demo,Price,WindowsCompatible,MacCompatible,LinuxCompatible,MetacriticScore,AchievementCount,ReleaseDate,DRM,Categories,Genres
2310750,dlc,"Erannorth Chronicles - Untold Tales and Legends",0,,"","Experience a richer, more distinct, and dangerous world with the fourth Erannorth Chronicles expansion. &quot;Untold Tales and Legends&quot; will expand the world seamlessly with new Narrative Events, Challenges, Enemies, and Cards.",,"Erannorth Chronicles","English",https://cdn.akamai.steamstatic.com/steam/apps/2310750/header.jpg?t=1678084390,,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 7 x64bitProcessor: Dual Core CPU or betterMemory: 8 GB RAMGraphics: Graphics card with DX10 (shader model 4.0) capabilities.DirectX: Version 10Storage: 8 GB available spaceAdditional Notes: Only 16/9 resolutions are supported in full screen.","Recommended:Requires a 64-bit processor and operating systemOS: Windows 10 x64bitProcessor: Quad Core CPU or betterMemory: 12 GB RAMGraphics: Graphics card with DX12 (shader model 4.0) capabilities.DirectX: Version 11Storage: 10 GB available spaceAdditional Notes: Only 16/9 resolutions are supported in full screen.","Spyridon Thalassinos","Spyridon Thalassinos",,"9,99€",true,false,false,,,"5 Mar, 2023",,"Single-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Remote Play on Tablet","Adventure, Indie, RPG, Strategy"
2310780,game,"Vincent's Horror Story",0,,"","In Vincent's Horror Story, players are immersed in a spine-chilling and bizarre atmosphere teeming with frightening monsters and mind-bending challenges.",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2310780/header.jpg?t=1677492367,,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 7, 8, 10Processor: Intel Core i3 / AMD Athlon II X3Memory: 2 GB RAMGraphics: NVIDIA Geforce GTX 660 / ATI Radeon HD 7850Storage: 2500 MB available space","Recommended:Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i5 / AMD Ryzen 5 3600XMemory: 4 GB RAMGraphics: NVIDIA Geforce GTX 1050 / AMD Radeon RX560XStorage: 2500 MB available space","Vladislav Borovic","Vladislav Borovic",,"2,99€",true,false,false,,8,"27 Feb, 2023",,"Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements","Adventure, Casual, Indie"
2310790,demo,"Blue Chips Demo",0,,"","",,"Blue Chips","English",https://cdn.akamai.steamstatic.com/steam/apps/2310790/header.jpg?t=1676103760,https://twitter.com/Blue_Chips_Game,"Minimum:OS: Windows 7Processor: i3Memory: 4 MB RAMGraphics: Intel HD Graphics 4000DirectX: Version 9.0Storage: 400 MB available space","Recommended:OS: Windows 10Processor: i5Graphics: NVIDIA GeForce GTX 1060DirectX: Version 12Storage: 400 MB available space","BFG Studio","BFG Studio",,"",true,false,false,,,"6 Feb, 2023",,"Single-player, Multi-player, PvP, Online PvP, Game demo",""
2310820,demo,"Tricky Tracks - Early Access Demo",0,,"","",,"Tricky Tracks - Early Access","English",https://cdn.akamai.steamstatic.com/steam/apps/2310820/header.jpg?t=1676710905,,"Minimum:Requires a 64-bit processor and operating system","Recommended:Requires a 64-bit processor and operating system","RainLight","RainLight",,"",true,false,false,,,"18 Feb, 2023",,"Single-player, Multi-player, PvP, Online PvP, Game demo, Partial Controller Support",""
2310830,game,"Samurai Legacy",0,,"","Samurai Legacy is an oriental-themed roguelike deckbuilder. Play as a warrior samurai and build your deck to face epic challenges and enemies. Customize your character and evolve to become the most powerful warrior samurai. It's perfect for strategy game enthusiasts.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310830/header.jpg?t=1675791871,,"Minimum:OS: Windows XP, Vista, 7, 8/8.1, 10Processor: 2.0 GhzMemory: 2 GB RAMGraphics: 1Gb Video Memory, capable of OpenGL 3.0+ support (2.1 with ARB extensions acceptable)Storage: 1 GB available space","","Rogue Deck Studios","Rogue Deck Studios",,"",true,false,false,,,"Coming soon",,"Single-player","Indie, Strategy, Early Access"
2310860,game,"Radical Road",0,,"","A casual, arcade, one button game about getting a car to go as far as it can on an infinitely procedually generated road, while collecting coins.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310860/header.jpg?t=1676708502,,"Minimum:OS: WindowsProcessor: YepMemory: 300 MB RAMGraphics: AbsolutelyStorage: 150 MB available spaceSound Card: Optional","Recommended:OS: WindowsProcessor: YepMemory: 305 MB RAMGraphics: AbsolutelyStorage: 155 MB available spaceSound Card: Optional","Kristian Bjerre","Ganske Danske",,"",true,false,false,,,"Coming soon",,"Single-player, Steam Achievements, Steam Leaderboards","Action, Casual, Indie, Racing"
2310870,game,"Plastic Soul",0,,"","Plastic Soul is a daily life simulation about living with an android. Play as a man who gets an android from you son to help you move on from your deceased wife. Progress through the story by interacting with your android and discover the secret behind your wife's death.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310870/header.jpg?t=1677187867,,"Minimum:OS: Windows 7 or higherProcessor: 2.0 Ghz 64-bit Intel-compatibleMemory: 2 GB RAMGraphics: OpenGL 3.0 or DirectX 11DirectX: Version 11Storage: 1 GB available space","","Huli","Huli",,"",true,true,true,,,"Q4 2023",,"Single-player","Adventure, Casual, Simulation"
2310880,game,"Cursor Story",0,full,"","Play as a cursor going on an adventure to retrieve it's lost memories. Play through small bullet-hell-ish levels and meet cool, interesting, weird and funny characters.",,"","English*, Danish*languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2310880/header.jpg?t=1675972130,,"Minimum:OS: You can probably play it on a potatoProcessor: You can probably play it on a potatoMemory: 108 MB RAMGraphics: Probably good I dont knowStorage: 108 MB available spaceSound Card: The sound aren't essential but I still recommend being able to hear themVR Support: noAdditional Notes: I can play it on my school computer so everyone who can have steam should be able to play it","Recommended:OS: Probably more than a potatoProcessor: Probably more than a potatoMemory: 109 MB RAMGraphics: Good graphicsStorage: 109 MB available spaceSound Card: The sound aren't essential but I still recommend being able to hear themVR Support: noAdditional Notes: You can probably play it","Unknown 3200","Unknown 3200",,"",true,false,false,,,"To be announced",,"Single-player, Full controller support","Action, Adventure, Indie"
2310900,game,"Hedge Fund Tycoon",0,,"","Are you ready to climb the ranks of the elite and become the wealthiest hedge fund in the world? In this thrilling new stock market game, you'll trade stocks, bonds, and use corruption to achieve your goals. Don't miss your chance to dominate the world of finance and amass a fortune.",,"","English*, Italian**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2310900/header.jpg?t=1675977415,,"Minimum:OS: Windows 10 64-bitProcessor: 2 GhzMemory: 2 GB RAMStorage: 2 GB available space","Recommended:OS: Windows 10 64-bitProcessor: 2 GhzMemory: 2 GB RAMStorage: 4 GB available space","Sticksgames","Sticksgames",,"",true,false,false,,,"Q3 2023",,"Single-player","Simulation, Strategy"
2310920,game,"THE EDITOR",0,,"","NEWSPAPER EDITING ADVENTURE. &quot;In 1996, a congressman was murdered...The prime suspect is a congressman's aide. As the suspicious article was published the story begins&quot; Play the role of editor-in-chief of a newspaper. You become the editor of a newspaper and write a front-page article every day.",,"","English, Korean",https://cdn.akamai.steamstatic.com/steam/apps/2310920/header.jpg?t=1675971268,http://decatreegames.com/,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 10Processor: 2GHz CPU Dual CoreMemory: 2 GB RAMGraphics: Intel Graphics 4400DirectX: Version 10Storage: 500 MB available space","Recommended:Requires a 64-bit processor and operating system","DECATREE GAMES","DECATREE GAMES",,"",true,false,false,,,"Q2 2023",,"Single-player","Adventure, Indie"
